SchedDepLat,SchedDepLong,ArrivalLat,ArrivalLong,SchedDep_Epoch,FlightNumDec,FlightNumber,ArcTangent,Distance
28.42938889,-81.309,10.59339722,-85.54448056,1659366300,7070845057,FFT29,0.233149684,18.33199101
27.97547222,-82.53325,18.4394,-66.00213333,1659385800,7.07E+11,FFT120,-1.047568406,19.08440441
29.98443611,-95.34144167,36.08004444,-115.1522361,1659480540,7.07E+13,FFT2139,-1.272298351,20.72737361
39.86166667,-104.6731667,36.89460556,-76.20123056,1659358320,7.07E+11,FFT674,-1.466961096,28.62611743
39.86166667,-104.6731667,34.63719722,-86.77505556,1659386700,7.07E+11,FFT854,-1.286786635,18.64503857
28.42938889,-81.309,41.97694167,-87.90815,1659349800,7070845252,FFT44,-0.453282629,15.06933864
33.6367,-84.42786389,39.17572778,-76.66899167,1659380340,7.07E+13,FFT1570,0.950804948,9.533148844
25.79536111,-80.29011667,33.6367,-84.42786389,1659348000,7.07E+13,FFT1515,-0.485548559,8.866089761
28.42938889,-81.309,18.4394,-66.00213333,1659359820,7070845157,FFT39,-0.992562169,18.27840379
28.42938889,-81.309,35.21375,-80.94905556,1659318900,7.07E+13,FFT1050,0.053005327,6.793902831
28.42938889,-81.309,36.08004444,-115.1522361,1659362400,7.07E+13,FFT1103,-1.348471684,34.69722122
41.78597222,-87.75241667,33.6367,-84.42786389,1659388740,7.07E+13,FFT1355,-0.387346998,8.801323134
42.94693333,-87.89706389,39.86166667,-104.6731667,1659311220,7.07E+11,FFT435,1.388920218,17.05744693
41.50411111,-74.10483333,28.42938889,-81.309,1659368460,7.07E+13,FFT1299,0.503610332,14.928107
41.78597222,-87.75241667,32.89723333,-97.03769444,1659359880,7.07E+13,FFT1371,0.807213703,12.85402903
36.124475,-86.67818056,28.42938889,-81.309,1659395280,7.07E+13,FFT1030,-0.609208552,9.383093846
39.86166667,-104.6731667,33.6367,-84.42786389,1659381900,7.07E+11,FFT420,-1.272494017,21.18071047
40.79613611,-73.10066389,33.67974167,-78.92832222,1659306240,7.07E+13,FFT2863,0.686163168,9.198079769
43.64564444,-70.30861667,35.87763889,-78.78747222,1659389460,7.07E+13,FFT1659,0.829123343,11.49925657
39.86166667,-104.6731667,39.04883889,-84.66782222,1659299820,7.07E+11,FFT646,-1.530188131,20.02185048
33.6367,-84.42786389,36.08004444,-115.1522361,1659320160,7.07E+13,FFT2001,-1.491438702,30.82137213
20.52183611,-103.3111444,36.08004444,-115.1522361,1659393300,7.07E+11,FFT209,-0.650556733,19.55170834
42.94041667,-78.73058333,27.97547222,-82.53325,1659401400,7.07E+13,FFT2501,0.248838411,15.44052577
40.27669444,-74.81347222,28.42938889,-81.309,1659353700,7.07E+11,FFT801,0.501514387,13.51112615
39.87208333,-75.24066389,28.42938889,-81.309,1659312000,7.07E+13,FFT1175,0.487611535,12.95221831
39.86166667,-104.6731667,40.78839444,-111.9777722,1659327240,7.07E+11,FFT571,-1.444601542,7.36315733
35.87763889,-78.78747222,39.87208333,-75.24066389,1659390120,7.07E+13,FFT1650,0.726109409,5.341856954
39.87208333,-75.24066389,26.07166667,-80.14969444,1659394800,7.07E+13,FFT2297,0.34175802,14.64752815
42.88083333,-85.52280556,39.86166667,-104.6731667,1659313020,7.07E+11,FFT499,1.414427524,19.38689504
40.79613611,-73.10066389,28.42938889,-81.309,1659305040,7.07E+13,FFT1093,0.585975469,14.84295181
32.89723333,-97.03769444,34.05601389,-117.6011889,1659389700,7.07E+13,FFT2735,-1.514504516,20.596118
39.86166667,-104.6731667,39.29761111,-94.71388889,1659401520,7.07E+11,FFT566,-1.514220576,9.975238001
46.92063889,-96.81575,39.86166667,-104.6731667,1659308280,7.07E+11,FFT493,0.838875128,10.56257951
34.72944167,-92.22477778,36.08004444,-115.1522361,1659302520,7.07E+13,FFT1999,-1.511956671,22.96720429
39.86166667,-104.6731667,38.69544444,-121.5907778,1659309060,7.07E+11,FFT627,1.501969816,16.95776045
30.62678056,-88.06809167,27.97547222,-82.53325,1659654000,7.07E+13,FFT9025,-1.124071898,6.137092815
33.6367,-84.42786389,26.07166667,-80.14969444,1659319320,7.07E+13,FFT1364,-0.514679803,8.690941441
29.53395833,-98.46905833,39.86166667,-104.6731667,1659465900,7.07E+13,FFT9015,-0.540952118,12.04792597
